Area,Week,Number,MOE,Percent,MOE Percent
Oklahoma,"25 - February 17 - March 1, 2021",868418,98710,31.4,3.5
Oklahoma,"23 - January 20 - February 1, 2021",1004880,98491,36.3,3.5
Oklahoma,"16 - September 30 - October 12, 2020",772164,97914,27.1,3.3
Indiana,"20 - November 25 - December 7, 2020",1429834,97881,30.2,2.2
Louisiana,"17 - October 14-26, 2020",889135,97753,27.2,3
Minnesota,"17 - October 14-26, 2020",1716430,97735,41.9,2.4
Minnesota,"15 - September 16-28, 2020",1749910,97455,43,2.4
Colorado,"16 - September 30 - October 12, 2020",1973793,97419,45.5,2.3
Missouri,"13 - August 19-31, 2020",1455219,96188,32.7,2.1
Colorado,"15 - September 16-28, 2020",1953496,96159,45.5,2.3
Alabama,"15 - September 16-28, 2020",860552,95962,24.6,2.7
South Carolina,"14 - September 2-14, 2020",1120310,95808,29.9,2.6
Indiana,"14 - September 2-14, 2020",1261179,95592,26.3,2
Mississippi,"21 - December 9-21, 2020",497228,95192,24,4.3
Kentucky,"17 - October 14-26, 2020",1001857,94487,31.1,2.9
Mississippi,"23 - January 20 - February 1, 2021",519680,92635,24.8,4.4
Oklahoma,"19 - November 11-23, 2020",882775,92129,31.6,3.3
Washington,"13 - August 19-31, 2020",2370638,92080,42,1.7
Maryland,"13 - August 19-31, 2020",2023099,91972,46.4,2.1
Tennessee,"16 - September 30 - October 12, 2020",1469861,91452,29.4,1.8
Connecticut,"21 - December 9-21, 2020",1150585,90801,44.9,3.5
Wisconsin,"14 - September 2-14, 2020",1417496,90583,33.4,2.2
Missouri,"14 - September 2-14, 2020",1355668,90116,31.7,2.1
Kentucky,"22 - January 6-18, 2021",927928,90091,29.9,3
Connecticut,"22 - January 6-18, 2021",1148522,90067,44.8,3.7
Kentucky,"16 - September 30 - October 12, 2020",946715,89973,29.7,2.6
Connecticut,"18 - October 28 - November 9, 2020",1074436,89267,41.4,3.4
Indiana,"17 - October 14-26, 2020",1363953,88754,28.8,2
Oregon,"25 - February 17 - March 1, 2021",1263865,88582,39.8,2.8
Oregon,"27 - March 17-29, 2021",1309025,87875,41.8,2.8
Connecticut,"27 - March 17-29, 2021",1195153,87014,46.5,3.3
Minnesota,"26 - March 3-15, 2021",1750183,86753,43.5,2
